name,description
Crush Confidence (Blue),"Crush Confidence (Blue) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has 5 power, and has the abilities; **Crush** - If Crush Confidence deals 4 or more damage to a hero, they lose all hero card effects and activated abilities until the end of their next turn."
Dawnblade,"Dawnblade is a 'Warrior Weapon – Sword (2H)' card from the 'Welcome to Rathe' set. It has 3 power and the abilities; **Once per Turn Action** - {r}: **Attack**

If Dawnblade hits, and it's the second time it has hit this turn, put a +1{p} counter on Dawnblade.

At the beginning of your end phase, if Dawnblade has not hit this turn, remove all +1{p} counters from Dawnblade."
Debilitate (Red),"Debilitate (Red) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 1, defends for 3, has 8 power, and has the abilities; **Crush** - If Debilitate deals 4 or more damage to a hero, their first attack during their next turn has -2{p}."
Debilitate (Yellow),"Debilitate (Yellow) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 2, defends for 3, has 7 power, and has the abilities; **Crush** - If Debilitate deals 4 or more damage to a hero, their first attack during their next turn has -2{p}."
Debilitate (Blue),"Debilitate (Blue) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 3, defends for 3, has 6 power, and has the abilities; **Crush** - If Debilitate deals 4 or more damage to a hero, their first attack during their next turn has -2{p}."
Demolition Crew (Red),"Demolition Crew (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 2, has 6 power, and has the abilities; As an additional cost to play Demolition Crew, reveal a card in your hand with cost 2 or greater.

**Dominate**"
Demolition Crew (Yellow),"Demolition Crew (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 2, has 5 power, and has the abilities; As an additional cost to play Demolition Crew, reveal a card in your hand with cost 2 or greater.

**Dominate**"
Demolition Crew (Blue),"Demolition Crew (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 2, has 4 power, and has the abilities; As an additional cost to play Demolition Crew, reveal a card in your hand with cost 2 or greater.

**Dominate**"
Disable (Red),"Disable (Red) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 5, pitches for 1, defends for 3, has 9 power, and has the abilities; **Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck."
Disable (Yellow),"Disable (Yellow) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 5, pitches for 2, defends for 3, has 8 power, and has the abilities; **Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck."
Disable (Blue),"Disable (Blue) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 5, pitches for 3, defends for 3, has 7 power, and has the abilities; **Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck."
Dorinthea,"Dorinthea is a 'Warrior Hero – Young' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; **Once per turn Effect** - When a weapon you control hits, you may attack an additional time with that weapon this turn."
Dorinthea Ironsong,"Dorinthea Ironsong is a 'Warrior Hero' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; **Once per turn Effect** - When a weapon you control hits, you may attack an additional time with that weapon this turn."
Driving Blade (Red),"Driving Blade (Red) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +3{p} and **go again**.

**Go again**"
Driving Blade (Yellow),"Driving Blade (Yellow) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +2{p} and **go again**.

**Go again**"
Driving Blade (Blue),"Driving Blade (Blue) is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has None power, and has the abilities; Your next weapon attack this turn gains +1{p} and **go again**.

**Go again**"
Drone of Brutality (Red),"Drone of Brutality (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 2, has 6 power, and has the abilities; If Drone of Brutality would be put into your graveyard from anywhere, instead put it on the bottom of your deck."
Drone of Brutality (Yellow),"Drone of Brutality (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 2, has 5 power, and has the abilities; If Drone of Brutality would be put into your graveyard from anywhere, instead put it on the bottom of your deck."
Drone of Brutality (Blue),"Drone of Brutality (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 2, has 4 power, and has the abilities; If Drone of Brutality would be put into your graveyard from anywhere, instead put it on the bottom of your deck."
Emerging Power (Red),"Emerging Power (Red) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; **Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +3{p}."
Emerging Power (Yellow),"Emerging Power (Yellow) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; **Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +2{p}."
Emerging Power (Blue),"Emerging Power (Blue) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has None power, and has the abilities; **Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +1{p}."
Energy Potion,"Energy Potion is a 'Generic Action – Item' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for None, has None power, and has the abilities; **Instant** - Destroy Energy Potion: Gain {r}{r}"
Enlightened Strike,"Enlightened Strike is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has 5 power, and has the abilities; As an additional cost to play Enlightened Strike, put a card from your hand on the bottom of your deck.

Choose 1;
- When you attack with Enlightened Strike, draw a card.
- Enlightened Strike gains +2{p}.
- Enlightened Strike gains **go again**."
Flic Flak (Red),"Flic Flak (Red) is a 'Ninja – Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 4, has None power, and has the abilities; If the next card you defend with this turn is a card with **combo**, it gains +2{d}."
Flic Flak (Yellow),"Flic Flak (Yellow) is a 'Ninja – Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; If the next card you defend with this turn is a card with **combo**, it gains +2{d}."
Flic Flak (Blue),"Flic Flak (Blue) is a 'Ninja – Defense Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has None power, and has the abilities; If the next card you defend with this turn is a card with **combo**, it gains +2{d}."
Flock of the Feather Walkers (Red),"Flock of the Feather Walkers (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 2, has 5 power, and has the abilities; As an additional cost to play Flock of the Feather Walkers, reveal a card in your hand with cost 1 or less.

When you attack with Flock of the Feather Walkers, create a Quicken token."
Flock of the Feather Walkers (Yellow),"Flock of the Feather Walkers (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 2, has 4 power, and has the abilities; As an additional cost to play Flock of the Feather Walkers, reveal a card in your hand with cost 1 or less.

When you attack with Flock of the Feather Walkers, create a Quicken token."
Flock of the Feather Walkers (Blue),"Flock of the Feather Walkers (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 2, has 3 power, and has the abilities; As an additional cost to play Flock of the Feather Walkers, reveal a card in your hand with cost 1 or less.

When you attack with Flock of the Feather Walkers, create a Quicken token."
Fluster Fist (Red),"Fluster Fist (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has 4 power, and has the abilities; **Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1{p} for each attack that has hit this combat chain."
Fluster Fist (Yellow),"Fluster Fist (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has 3 power, and has the abilities; **Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1{p} for each attack that has hit this combat chain."
Fluster Fist (Blue),"Fluster Fist (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has 2 power, and has the abilities; **Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1{p} for each attack that has hit this combat chain."
Forged for War,"Forged for War is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; **Go again**

Equipment you control gain +1{d}.

At the beginning of your action phase, destroy Forged for War."
Fyendal's Spring Tunic,"Fyendal's Spring Tunic is a 'Generic Equipment – Chest' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; At the start of your turn, if Fyendal's Spring Tunic has less than 3 energy counters, you may put an energy counter on it.

**Instant** - Remove 3 energy counters from Fyendal's Spring Tunic: Gain {r}

**Blade Break**"
Glint the Quicksilver,"Glint the Quicksilver is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; Target weapon attack gains **go again**.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, draw a card."
Goliath Gauntlet,Goliath Gauntlet is a 'Generic Equipment – Arms' card from the 'Welcome to Rathe' set. It defends for 0 and has the abilities; **Action** - Destroy Goliath Gauntlet: The next attack action card with cost 2 or greater you play this turn gains +2{p}. **Go again**
Harmonized Kodachi,"Harmonized Kodachi is a 'Ninja Weapon – Dagger (1H)' card from the 'Welcome to Rathe' set. It has 1 power and the abilities; **Once per Turn Action** - {r}: **Attack**

If you have a card in your pitch zone with cost 0, Harmonized Kodachi has **go again**."
Head Jab (Red),"Head Jab (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 2, has 3 power, and has the abilities; **Go again**"
Head Jab (Yellow),"Head Jab (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 2, has 2 power, and has the abilities; **Go again**"
Head Jab (Blue),"Head Jab (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 2, has 1 power, and has the abilities; **Go again**"
Heart of Fyendal,"Heart of Fyendal is a 'Generic Resource – Gem' card from the 'Welcome to Rathe' set. It costs None, pitches for 3, defends for None, has None power, and has the abilities; **Legendary**

When you pitch Heart of Fyendal, if you have less {h} than your opponent, gain 1{h}."
Heartened Cross Strap,Heartened Cross Strap is a 'Generic Equipment – Chest' card from the 'Welcome to Rathe' set. It defends for 0 and has the abilities; **Action** - Destroy Heartened Cross Strap: The next attack action card you play this turn costs {r}{r} less to play. **Go again**
Helm of Isen's Peak,"Helm of Isen's Peak is a 'Guardian Equipment – Head' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Action** - {r}, destroy Helm of Isen Peak: Your hero gains +1{i} until end of turn.

**Battleworn**"
Hope Merchant's Hood,"Hope Merchant's Hood is a 'Generic Equipment – Head' card from the 'Welcome to Rathe' set. It defends for 0 and has the abilities; **Instant** - Destroy Hope Merchant's Hood: Shuffle any number of cards from your hand into your deck, then draw that many cards."
Hurricane Technique,"Hurricane Technique is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has 4 power, and has the abilities; **Combo** - If Rising Knee Thrust was the last attack this combat chain, Hurricane Technique gains +1{p}, **go again**, and ""If Hurricane Technique hits, put it into your hand."""
Ironrot Gauntlet,Ironrot Gauntlet is a 'Generic Equipment – Arms' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Blade Break**
Ironrot Helm,Ironrot Helm is a 'Generic Equipment – Head' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Blade Break**
Ironrot Legs,Ironrot Legs is a 'Generic Equipment – Legs' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Blade Break**
Ironrot Plate,Ironrot Plate is a 'Generic Equipment – Chest' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Blade Break**
Ironsong Determination,"Ironsong Determination is a 'Warrior Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; Target weapon gains +1{p} and **dominate** until end of turn.

**Go again**"
Ironsong Response (Red),"Ironsong Response (Red) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has None power, and has the abilities; **Reprise** - If the defending hero has defended with a card from their hand this chain link, target weapon attack gains +3{p}."
Ironsong Response (Yellow),"Ironsong Response (Yellow) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; **Reprise** - If the defending hero has defended with a card from their hand this chain link, target weapon attack gains +2{p}."
Ironsong Response (Blue),"Ironsong Response (Blue) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; **Reprise** - If the defending hero has defended with a card from their hand this chain link, target weapon attack gains +1{p}."
Katsu,"Katsu is a 'Ninja Hero – Young' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; The first time an attack action card you control hits each turn, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn."
"Katsu, the Wanderer","Katsu, the Wanderer is a 'Ninja Hero' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; The first time an attack action card you control hits each turn, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn."
Last Ditch Effort,"Last Ditch Effort is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has 4 power, and has the abilities; When you play Last Ditch Effort, if you have no cards in your deck, it gains +4{p} and **go again**."
Leg Tap (Red),"Leg Tap (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 2, has 4 power, and has the abilities; **Go again**"
Leg Tap (Yellow),"Leg Tap (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 2, has 3 power, and has the abilities; **Go again**"
Leg Tap (Blue),"Leg Tap (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 2, has 2 power, and has the abilities; **Go again**"
Lord of Wind,"Lord of Wind is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has 2 power, and has the abilities; **Katsu Specialization**

**Combo** - If Mugenshi: RELEASE was the last attack this combat chain, as an additional cost to play Lord of Wind, you may pay any amount of {r}. If you do, shuffle that many target cards named Surging Strike, Whelming Gustwave and/or Mugenshi: RELEASE from your graveyard into your deck, then Lord of Wind gains that much {p}."
Mask of Momentum,"Mask of Momentum is a 'Ninja Equipment – Head' card from the 'Welcome to Rathe' set. It defends for 2 and has the abilities; **Once per Turn Effect** - When an attack action card you control is the third or higher chain link in a row to hit, draw a card.

**Blade Break**"
